time_stamp,symbol,before,after
2026-06-05 16:42:03.491,MSFT,0,20
2026-06-05 16:42:09.802,MSFT,20,0
2026-06-05 16:42:16.861,MSFT,0,20
2026-06-05 16:42:22.238,MSFT,20,0
2026-06-05 16:42:35.919,MSFT,0,20
2026-06-05 16:42:42.778,MSFT,20,0
2026-06-05 16:42:49.572,MSFT,0,20
2026-06-05 16:42:54.926,MSFT,20,0
2026-06-05 16:43:02.683,MSFT,0,20
2026-06-05 16:43:10.543,MSFT,20,0
2026-06-05 16:43:18.024,MSFT,0,20
2026-06-05 16:43:23.375,MSFT,20,0
2026-06-05 16:43:31.450,MSFT,0,20
2026-06-05 16:43:40.767,MSFT,20,0
2026-06-05 16:43:48.867,MSFT,0,20
2026-06-05 16:43:57.941,MSFT,20,0
